si_item,si_section,table_or_figure,result_csv,auxiliary_data_file,python_source,notebook_file,notebook_cell_index,model_name,sample_definition,publication_status,manuscript_location,consistency_check,notes
S1,S1 Data provenance and preprocessing,Table S1,asjp_family_audit.csv; lexibank_family_audit.csv; asjp_macroarea_sample_flow.csv; asjp_family_counts.csv; lexibank_family_counts.csv,reproducibility_metadata.json,notebook (Bayesian pipeline); scripts/*.py are the separate frequentist pipeline and are not sources for these items,Beyond_Arbitrariness_BetaBinomial_Diagnostics_final.ipynb,"4,6,7,53",-,ASJP & Lexibank language summaries,provenance,S1,counts cross-checked against manifest & sample-flow CSV,
S2,S1 Data provenance and preprocessing,Table S2,,,notebook (Bayesian pipeline); scripts/*.py are the separate frequentist pipeline and are not sources for these items,Beyond_Arbitrariness_BetaBinomial_Diagnostics_final.ipynb,"6,7",-,"rule definitions (code, not data)",provenance,S1,verbatim from notebook cell 6/7 classification code,
S3,S2 Sample flow and metadata audits,Table S3,asjp_macroarea_sample_flow.csv; asjp_macroarea_sample_difference.csv; asjp_unknown_family_split_audit.csv,,notebook (Bayesian pipeline); scripts/*.py are the separate frequentist pipeline and are not sources for these items,Beyond_Arbitrariness_BetaBinomial_Diagnostics_final.ipynb,"67,99",-,ASJP prefilter -> primary -> macroarea-matched,audit,S2,exact counts vs manifest,
S4,S2 Sample flow and metadata audits,Table S4,asjp_macroarea_distribution.csv,,notebook (Bayesian pipeline); scripts/*.py are the separate frequentist pipeline and are not sources for these items,Beyond_Arbitrariness_BetaBinomial_Diagnostics_final.ipynb,99,-,"macroarea complete-case (10,626 languages)",audit,S2,family/language counts vs matched sample (386 families),
S5,S2 Sample flow and metadata audits,Table S5,asjp_macroarea_exclusion_counts.csv; asjp_macroarea_source_metadata.csv,,notebook (Bayesian pipeline); scripts/*.py are the separate frequentist pipeline and are not sources for these items,Beyond_Arbitrariness_BetaBinomial_Diagnostics_final.ipynb,99,-,linkage audit (260 unlinked),audit,S2,ledger of 260 unlinked retained as asjp_macroarea_dropped_languages.csv,
S6,S3 Statistical model specifications,Table S6,,,notebook (Bayesian pipeline); scripts/*.py are the separate frequentist pipeline and are not sources for these items,Beyond_Arbitrariness_BetaBinomial_Diagnostics_final.ipynb,"11,25,70",all,model specifications (code),provenance,S3,"priors read from notebook code, not posteriors",
S7,S4 MCMC sampling diagnostics,Table S7,asjp_beta_binomial_primary_diagnostics.csv; lexibank_beta_binomial_replication_diagnostics.csv; asjp_beta_binomial_within_between_diagnostics.csv; asjp_beta_binomial_position_interaction_diagnostics.csv; asjp_beta_binomial_hemisphere_diagnostics.csv; asjp_beta_binomial_macroarea_control_diagnostics.csv; asjp_beta_binomial_macroarea_matched_no_macroarea_diagnostics.csv; asjp_beta_binomial_south_macroarea_slopes_diagnostics.csv,,notebook (Bayesian pipeline); scripts/*.py are the separate frequentist pipeline and are not sources for these items,Beyond_Arbitrariness_BetaBinomial_Diagnostics_final.ipynb,"72,74,76,78,80,85,86,95,97,100",all Beta-Binomial reported models,per-model,diagnostic,S4,R-hat/ESS/divergences straight from *_diagnostics.csv,
S8,S5 Binomial versus Beta-Binomial sensitivity,Table S8,asjp_primary_effect.csv; asjp_beta_binomial_primary_effect.csv; asjp_initial_final_effects.csv; asjp_beta_binomial_position_effects.csv; asjp_within_between_effects.csv; asjp_beta_binomial_within_between_effects.csv,,notebook (Bayesian pipeline); scripts/*.py are the separate frequentist pipeline and are not sources for these items,Beyond_Arbitrariness_BetaBinomial_Diagnostics_final.ipynb,"13,72,36,76,30,74",Binomial (superseded) vs Beta-Binomial (reported),ASJP primary,robustness,S5,paired coefficients from both likelihood layers,
S9,S6 Lexical-coverage robustness,Table S9,boundary_mass_by_coverage.csv,,notebook (Bayesian pipeline); scripts/*.py are the separate frequentist pipeline and are not sources for these items,Beyond_Arbitrariness_BetaBinomial_Diagnostics_final.ipynb,89,-,coverage sweep (min total word count),robustness,S6,"axis is min_n_total (word count), NOT concept count; inclusion criterion is >=20 concepts",
S10,S7 Influence of major language families,Table S10,asjp_beta_binomial_primary_effect.csv; asjp_boundary_family_exclusion_sensitivity.csv,,notebook (Bayesian pipeline); scripts/*.py are the separate frequentist pipeline and are not sources for these items,Beyond_Arbitrariness_BetaBinomial_Diagnostics_final.ipynb,"72,95",primary_beta_binomial_model,ASJP primary & leave-family-out,robustness,S7,beta_lat medians vs manifest,
S11,S7 Influence of major language families,Table S11,asjp_beta_binomial_position_effects.csv; asjp_position_excluding_top_two_boundary_families.csv,,notebook (Bayesian pipeline); scripts/*.py are the separate frequentist pipeline and are not sources for these items,Beyond_Arbitrariness_BetaBinomial_Diagnostics_final.ipynb,"76,97",position_beta_binomial_model,ASJP primary & leave-top-two,robustness,S7,final-minus-initial -0.242 vs manifest,
S12,S8 Family-level boundary concentration and PPC misfit,Table S12,asjp_family_boundary_concentration.csv; lexibank_family_boundary_concentration.csv,,notebook (Bayesian pipeline); scripts/*.py are the separate frequentist pipeline and are not sources for these items,Beyond_Arbitrariness_BetaBinomial_Diagnostics_final.ipynb,91,-,ASJP & Lexibank family boundary concentration,diagnostic,S8,"Bookkeeping pseudo-family excluded from interpretive rows, retained in ledger",
S13,S8 Family-level boundary concentration and PPC misfit,Table S13,asjp_beta_binomial_family_boundary_ppc.csv; lexibank_beta_binomial_family_boundary_ppc.csv,,notebook (Bayesian pipeline); scripts/*.py are the separate frequentist pipeline and are not sources for these items,Beyond_Arbitrariness_BetaBinomial_Diagnostics_final.ipynb,93,primary_beta_binomial_model (PPC),major families in both databases,diagnostic,S8,observed-minus-PPC residuals from *_family_boundary_ppc.csv,
S14,S9 Areal and hemispheric heterogeneity,Table S14,asjp_beta_binomial_primary_effect.csv; asjp_beta_binomial_macroarea_matched_comparison.csv,,notebook (Bayesian pipeline); scripts/*.py are the separate frequentist pipeline and are not sources for these items,Beyond_Arbitrariness_BetaBinomial_Diagnostics_final.ipynb,"72,85,100",matched_sample / macroarea_beta_binomial_model,"full primary & matched (10,626)",robustness,S9,attenuation 48.0% (median-based) vs manifest; 47.6/47.7% flagged,
S15,S9 Areal and hemispheric heterogeneity,Table S15,asjp_beta_binomial_south_macroarea_effects.csv,,notebook (Bayesian pipeline); scripts/*.py are the separate frequentist pipeline and are not sources for these items,Beyond_Arbitrariness_BetaBinomial_Diagnostics_final.ipynb,86,south_macroarea_beta_binomial_model,Southern-Hemisphere macroareas,robustness,S9,Southern Eurasia n=1 marked uninformative,
S16,S10 ASJP-Lexibank overlap and comparability,Table S16,asjp_family_audit.csv; lexibank_family_audit.csv,,notebook (Bayesian pipeline); scripts/*.py are the separate frequentist pipeline and are not sources for these items,Beyond_Arbitrariness_BetaBinomial_Diagnostics_final.ipynb,53,-,ASJP vs Lexibank language sets,audit,S10,NOT COMPUTABLE from committed artifacts: no shared identifier / Glottocode / per-language Lexibank file in repo,
S17,S11 Computational reproducibility,Table S17,,reproducibility_metadata.json,notebook (Bayesian pipeline); scripts/*.py are the separate frequentist pipeline and are not sources for these items,Beyond_Arbitrariness_BetaBinomial_Diagnostics_final.ipynb,"2,3",-,environment,provenance,S11,recorded runtime versions vs pip constraints kept distinct,
S18,S11 Computational reproducibility,Table S18,,reproducibility_metadata.json,notebook (Bayesian pipeline); scripts/*.py are the separate frequentist pipeline and are not sources for these items,Beyond_Arbitrariness_BetaBinomial_Diagnostics_final.ipynb,"4,72,80,85,86,95,97,100",all,per-analysis,provenance,S11,derived from source_ledger.csv + manifest,
FS1,S8 Family-level boundary concentration and PPC misfit,Figure S1,figureS1_family_boundary_ppc.csv,,notebook (Bayesian pipeline); scripts/*.py are the separate frequentist pipeline and are not sources for these items,Beyond_Arbitrariness_BetaBinomial_Diagnostics_final.ipynb,106,primary_beta_binomial_model (PPC),"major families, both databases",diagnostic,S8,"existing final figure reused verbatim (copied, not redrawn)",
FS2,S5 Binomial versus Beta-Binomial sensitivity,Figure S2,asjp_primary_final_ppc_summary.csv; asjp_beta_binomial_ppc_summary.csv; lexibank_final_ppc_summary.csv; lexibank_beta_binomial_ppc_summary.csv,,notebook (Bayesian pipeline); scripts/*.py are the separate frequentist pipeline and are not sources for these items,Beyond_Arbitrariness_BetaBinomial_Diagnostics_final.ipynb,"59,82",Binomial vs Beta-Binomial PPC,ASJP & Lexibank,diagnostic,S5,"summary-statistic comparison (mean, between-language SD, exact-one share); NO per-bin distribution reconstructed from summaries",
FS3,S6 Lexical-coverage robustness,Figure S3,boundary_mass_by_coverage.csv,,notebook (Bayesian pipeline); scripts/*.py are the separate frequentist pipeline and are not sources for these items,Beyond_Arbitrariness_BetaBinomial_Diagnostics_final.ipynb,89,-,coverage sweep (min total word count),robustness,S6,min total word count axis; inclusion criterion >=20 concepts stated in caption,
